DEPT1,DEPT2
SANTA ANA,GUATEMALA
SANTA ANA,CHALATENANGO
CHALATENANGO,LA LIBERTAD
CHALATENANGO,HONDURAS
CHALATENANGO,CUSCATLAN
CHALATENANGO,CABANAS
CUSCATLAN,CABANAS
CUSCATLAN,SAN VICENTE
CUSCATLAN,LA PAZ
LA PAZ,SAN VICENTE
CABANAS,SAN VICENTE
CABANAS,HONDURAS
CABANAS,SAN MIGUEL
SAN VICENTE,SAN MIGUEL
SAN VICENTE,USULUTAN
SAN MIGUEL,HONDURAS
USULUTAN,SAN MIGUEL
SAN MIGUEL,MORAZAN
MORAZAN,HONDURAS
MORAZAN,LA UNION
SAN MIGUEL,LA UNION
LA UNION,HONDURAS
AHUACHAPAN,GUATEMALA
AHUACHAPAN,SANTA ANA
SANTA ANA,SONSONATE
CHALATENANGO,SAN SALVADOR
SAN SALVADOR,LA PAZ
SANTA ANA,LA LIBERTAD
LA LIBERTAD,LA PAZ
LA LIBERTAD,SAN SALVADOR
SAN SALVADOR,CUSCATLAN
SONSONATE,LA LIBERTAD
AHUACHAPAN,SONSONATE
