"MUNI","CODE"
"SANTA ANA",210
"AHUACHAPAN",101
"SONSONATE",315
"CHALATENANGO",407
"SANTA TECLA",511
"SAN SALVADOR",614
"COJUTEPEQUE",702
"SENSUNTEPEQUE",906
"SAN VICENTE",1010
"ZACATECOLUCA",821
"USULUTAN",1123
"SAN MIGUEL",1217
"SAN FRANCISCO GOTERA",1319
"LA UNION",1408
"APANECA",102
"ATIQUIZAYA",103
"CONCEPCION DE ATACO",104
"EL REFUGIO",105
"GUAYMANGO",106
"JUJUTLA",107
"SAN FRANCISCO MENENDEZ",108
"SAN LORENZO",109
"SAN PEDRO PUXTLA",110
"TACUBA",111
"TURIN",112
"CANDELARIA DE LA FRONTERA",201
"COATEPEQUE",202
"CHALCHUAPA",203
"EL CONGO",204
"EL PORVENIR",205
"MASAHUAT",206
"METAPAN",207
"SAN ANTONIO PAJONAL",208
"SAN SEBASTIAN SALITRILLO",209
"SANTA ROSA GUACHIPILIN",211
"SANTIAGO DE LA FRONTERA",212
"TEXISTEPEQUE",213
"ACAJUTLA",301
"ARMENIA",302
"CALUCO",303
"CUISNAHUAT",304
"SANTA ISABEL ISHUATAN",305
"IZALCO",306
"JUAYUA",307
"NAHUIZALCO",308
"NAHULINGO",309
"SALCOATITAN",310
"SAN ANTONIO DEL MONTE",311
"SAN JULIAN",312
"SANTA CATARINA MASAHUAT",313
"SANTO DOMINGO DE GUZMAN",314
"SONZACATE",316
"AGUA CALIENTE",401
"ARCATAO",402
"AZACUALPA",403
"CITALA",404
"COMALAPA",405
"CONCEPCION QUEZALTEPEQUE",406
"DULCE NOMBRE DE MARIA",408
"EL CARRIZAL",409
"EL PARAISO",410
"LA LAGUNA",411
"LA PALMA",412
"LA REINA",413
"LAS VUELTAS",414
"NOMBRE DE JESUS",415
"NUEVA CONCEPCION",416
"NUEVA TRINIDAD",417
"OJOS DE AGUA",418
"POTONICO",419
"SAN ANTONIO DE LA CRUZ",420
"SAN ANTONIO LOS RANCHOS",421
"SAN FERNANDO",422
"SAN FRANCISCO LEMPA",423
"SAN FRANCISCO MORAZAN",424
"SAN IGNACIO",425
"SAN ISIDRO LABRADOR",426
"SAN JOSE CANCASQUE",427
"SAN JOSE LAS FLORES",428
"SAN LUIS DEL CARMEN",429
"SAN MIGUEL DE MERCEDES",430
"SAN RAFAEL",431
"SANTA RITA",432
"TEJUTLA",433
"ANTIGUO CUSCATLAN",501
"CIUDAD ARCE",502
"COLON",503
"COMASAGUA",504
"CHILTIUPAN",505
"HUIZUCAR",506
"JAYAQUE",507
"JICALAPA",508
"LA LIBERTAD",509
"NUEVO CUSCATLAN",510
"QUEZALTEPEQUE",512
"SACACOYO",513
"SAN JOSE VILLANUEVA",514
"SAN JUAN OPICO",515
"SAN MATIAS",516
"SAN PABLO TACACHICO",517
"TAMANIQUE",518
"TALNIQUE",519
"TEOTEPEQUE",520
"TEPECOYO",521
"ZARAGOZA",522
"AGUILARES",601
"APOPA",602
"AYUTUXTEPEQUE",603
"CUSCATANCINGO",604
"EL PAISNAL",605
"GUAZAPA",606
"ILOPANGO",607
"MEJICANOS",608
"NEJAPA",609
"PANCHIMALCO",610
"ROSARIO DE MORA",611
"SAN MARCOS",612
"SAN MARTIN",613
"SANTIAGO TEXACUANGOS",615
"SANTO TOMAS",616
"SOYAPANGO",617
"TONACATEPEQUE",618
"DELGADO",619
"CANDELARIA",701
"EL CARMEN",703
"EL ROSARIO",704
"MONTE DE SAN JUAN",705
"ORATORIO DE CONCEPCION",706
"SAN BARTOLOME PERULAPIA",707
"SAN CRISTOBAL",708
"SAN JOSE GUAYABAL",709
"SAN PEDRO PERULAPAN",710
"SAN RAFAEL CEDROS",711
"SAN RAMON",712
"SANTA CRUZ ANALQUITO",713
"SANTA CRUZ MICHAPA",714
"SUCHITOTO",715
"TENANCINGO",716
"CUYULTITAN",801
"EL ROSARIO",802
"JERUSALEN",803
"MERCEDES LA CEIBA",804
"OLOCUILTA",805
"PARAISO DE OSORIO",806
"SAN ANTONIO MASAHUAT",807
"SAN EMIGDIO",808
"SAN FRANCISCO CHINAMECA",809
"SAN JUAN NONUALCO",810
"SAN JUAN TALPA",811
"SAN JUAN TEPEZONTES",812
"SAN MIGUEL TEPEZONTES",814
"SAN PEDRO MASAHUAT",815
"SAN PEDRO NONUALCO",816
"SAN RAFAEL OBRAJUELO",817
"SANTA MARIA OSTUMA",818
"SANTIAGO NONUALCO",819
"TAPALHUACA",820
"SAN LUIS LA HERRADURA",822
"CINQUERA",901
"GUACOTECTI",902
"ILOBASCO",903
"JUTIAPA",904
"SAN ISIDRO",905
"TEJUTEPEQUE",907
"VICTORIA",908
"VILLA DOLORES",909
"APASTEPEQUE",1001
"GUADALUPE",1002
"SAN CAYETANO ISTEPEQUE",1003
"SANTA CLARA",1004
"SANTO DOMINGO",1005
"SAN ESTEBAN CATARINA",1006
"SAN LORENZO",1008
"SAN SEBASTIAN",1009
"TECOLUCA",1011
"TEPETITAN",1012
"VERAPAZ",1013
"ALEGRIA",1101
"BERLIN",1102
"CALIFORNIA",1103
"CONCEPCION BATRES",1104
"EL TRIUNFO",1105
"EREGUAYQUIN",1106
"ESTANZUELAS",1107
"JIQUILISCO",1108
"JUCUAPA",1109
"JUCUARAN",1110
"MERCEDES UMAÐA",1111
"NUEVA GRANADA",1112
"OZATLAN",1113
"PUERTO EL TRIUNFO",1114
"SAN AGUSTIN",1115
"SAN BUENAVENTURA",1116
"SAN DIONISIO",1117
"SANTA ELENA",1118
"SAN FRANCISCO JAVIER",1119
"SANTA MARIA",1120
"SANTIAGO DE MARIA",1121
"TECAPAN",1122
"CAROLINA",1201
"ARAMBALA",1301
"CACAOPERA",1302
"CORINTO",1303
"CHILANGA",1304
"DELICIAS DE CONCEPCION",1305
"EL DIVISADERO",1306
"EL ROSARIO",1307
"GUATAJIAGUA",1309
"JOATECA",1310
"JOCOAITIQUE",1311
"JOCORO",1312
"LOLOTIQUILLO",1313
"MEANGUERA",1314
"OSICALA",1315
"PERQUIN",1316
"SAN CARLOS",1317
"SAN FERNANDO",1318
"SAN ISIDRO",1320
"SAN SIMON",1321
"SENSEMBRA",1322
"SOCIEDAD",1323
"TOROLA",1324
"YAMABAL",1325
"YOLOAIQUIN",1326
"CIUDAD BARRIOS",1202
"COMACARAN",1203
"CHAPELTIQUE",1204
"CHINAMECA",1205
"CHIRILAGUA",1206
"EL TRANSITO",1207
"LOLOTIQUE",1208
"MONCAGUA",1209
"NUEVA GUADALUPE",1210
"NUEVO EDEN DE SAN JUAN",1211
"QUELEPA",1212
"SAN ANTONIO DEL MOSCO",1213
"SAN GERARDO",1214
"SAN JORGE",1215
"SAN LUIS DE LA REINA",1216
"SAN RAFAEL ORIENTE",1218
"SESORI",1219
"ULUAZAPA",1220
"ANAMOROS",1401
"BOLIVAR",1402
"CONCEPCION DE ORIENTE",1403
"CONCHAGUA",1404
"EL CARMEN",1405
"EL SAUCE",1406
"INTIPUCA",1407
"LISLIQUE",1409
"MEANGUERA DEL GOLFO",1410
"NUEVA ESPARTA",1411
"PASAQUINA",1412
"POLOROS",1413
"SAN ALEJO",1414
"SAN JOSE",1415
"SANTA ROSA DE LIMA",1416
"YAYANTIQUE",1417
"YUCUAIQUIN",1418
"SAN LUIS TALPA",813
"SAN ILDEFONSO",1007
"GUALOCOCTI",1308
